model,roc_auc,accuracy,precision,recall,f1_score
lr,0.3508469537496205,0.8760869565217392,0.2517482517482518,0.10975609756097561,0.15286624203821655
rf,0.293974336268259,0.8888198757763975,0.3880597014925373,0.15853658536585366,0.2251082251082251
xgb,0.3261973737475964,0.8869565217391304,0.3524590163934426,0.13109756097560976,0.19111111111111112
