Threshold,True_Positives,False_Positives,False_Negatives,True_Negatives,Precision,Recall,F1_Score
0.05,158,594,170,2298,0.21010638297872342,0.4817073170731707,0.2925925925925926
0.1,119,364,209,2528,0.2463768115942029,0.3628048780487805,0.29346485819975343
0.15000000000000002,99,269,229,2623,0.26902173913043476,0.3018292682926829,0.2844827586206896
0.2,88,210,240,2682,0.2953020134228188,0.2682926829268293,0.28115015974440893
0.25,81,164,247,2728,0.3306122448979592,0.24695121951219512,0.2827225130890052
0.3,76,133,252,2759,0.36363636363636365,0.23170731707317074,0.2830540037243948
0.35000000000000003,73,116,255,2776,0.3862433862433862,0.2225609756097561,0.28239845261121854
0.4,69,98,259,2794,0.41317365269461076,0.21036585365853658,0.27878787878787875
0.45,59,85,269,2807,0.4097222222222222,0.1798780487804878,0.25
0.5,58,70,270,2822,0.453125,0.17682926829268292,0.2543859649122807
0.55,54,56,274,2836,0.4909090909090909,0.16463414634146342,0.24657534246575344
0.6000000000000001,50,48,278,2844,0.5102040816326531,0.1524390243902439,0.2347417840375587
0.6500000000000001,48,39,280,2853,0.5517241379310345,0.14634146341463414,0.23132530120481926
0.7000000000000001,44,35,284,2857,0.5569620253164557,0.13414634146341464,0.2162162162162162
0.7500000000000001,35,27,293,2865,0.5645161290322581,0.10670731707317073,0.1794871794871795
0.8,31,19,297,2873,0.62,0.09451219512195122,0.164021164021164
0.8500000000000001,24,14,304,2878,0.631578947368421,0.07317073170731707,0.13114754098360656
0.9000000000000001,17,9,311,2883,0.6538461538461539,0.051829268292682924,0.09604519774011298
0.95,9,2,319,2890,0.8181818181818182,0.027439024390243903,0.05309734513274336
